Id,SepalLength[cm],SepalWidth[cm],PetalLength[cm],PetalWidth[cm],Species
1,5.1,3.5,1.40 ,0.20 ,Iris-setosa
2,4.9,3,1.40 ,0.20 ,Iris-setosa
3,4.7,3.2,1.30 ,0.20 ,Iris-setosa
4,4.6,3.1,1.50 ,0.20 ,Iris-setosa
5,5,3.6,1.40 ,0.20 ,Iris-setosa
6,5.4,3.9,1.70 ,0.40 ,Iris-setosa
7,4.6,3.4,1.40 ,0.30 ,Iris-setosa
8,5,3.4,1.50 ,0.20 ,Iris-setosa
9,4.4,2.9,1.40 ,0.20 ,Iris-setosa
10,4.9,3.1,1.50 ,0.10 ,Iris-setosa
11,5.4,3.7,1.50 ,0.20 ,Iris-setosa
12,4.8,3.4,1.60 ,0.20 ,Iris-setosa
13,4.8,3,1.40 ,0.10 ,Iris-setosa
14,4.3,3,1.10 ,0.10 ,Iris-setosa
15,5.8,4,1.20 ,0.20 ,Iris-setosa
16,5.7,4.4,1.50 ,0.40 ,Iris-setosa
17,5.4,3.9,1.30 ,0.40 ,Iris-setosa
18,5.1,3.5,1.40 ,0.30 ,Iris-setosa
19,5.7,3.8,1.70 ,0.30 ,Iris-setosa
20,5.1,3.8,1.50 ,0.30 ,Iris-setosa
21,5.4,3.4,1.70 ,0.20 ,Iris-setosa
22,5.1,3.7,1.50 ,0.40 ,Iris-setosa
23,4.6,3.6,1.00 ,0.20 ,Iris-setosa
24,5.1,3.3,1.70 ,0.50 ,Iris-setosa
25,4.8,3.4,1.90 ,0.20 ,Iris-setosa
26,5,3,1.60 ,0.20 ,Iris-setosa
27,5,3.4,1.60 ,0.40 ,Iris-setosa
28,5.2,3.5,1.50 ,0.20 ,Iris-setosa
29,5.2,3.4,1.40 ,0.20 ,Iris-setosa
30,4.7,3.2,1.60 ,0.20 ,Iris-setosa
31,4.8,3.1,1.60 ,0.20 ,Iris-setosa
32,5.4,3.4,1.50 ,0.40 ,Iris-setosa
33,5.2,4.1,1.50 ,0.10 ,Iris-setosa
34,5.5,4.2,1.40 ,0.20 ,Iris-setosa
35,4.9,3.1,1.50 ,0.10 ,Iris-setosa
36,5,3.2,1.20 ,0.20 ,Iris-setosa
37,5.5,3.5,1.30 ,0.20 ,Iris-setosa
38,4.9,3.1,1.50 ,0.10 ,Iris-setosa
39,4.4,3,1.30 ,0.20 ,Iris-setosa
40,5.1,3.4,1.50 ,0.20 ,Iris-setosa
41,5,3.5,1.30 ,0.30 ,Iris-setosa
42,4.5,2.3,1.30 ,0.30 ,Iris-setosa
43,4.4,3.2,1.30 ,0.20 ,Iris-setosa
44,5,3.5,1.60 ,0.60 ,Iris-setosa
45,5.1,3.8,1.90 ,0.40 ,Iris-setosa
46,4.8,3,1.40 ,0.30 ,Iris-setosa
47,5.1,3.8,1.60 ,0.20 ,Iris-setosa
48,4.6,3.2,1.40 ,0.20 ,Iris-setosa
49,5.3,3.7,1.50 ,0.20 ,Iris-setosa
50,5,3.3,1.40 ,0.20 ,Iris-setosa
51,7,3.2,4.70 ,1.40 ,Iris-versicolor
52,6.4,3.2,4.50 ,1.50 ,Iris-versicolor
53,6.9,3.1,4.90 ,1.50 ,Iris-versicolor
54,5.5,2.3,4.00 ,1.30 ,Iris-versicolor
55,6.5,2.8,4.60 ,1.50 ,Iris-versicolor
56,5.7,2.8,4.50 ,1.30 ,Iris-versicolor
57,6.3,3.3,4.70 ,1.60 ,Iris-versicolor
58,4.9,2.4,3.30 ,1.00 ,Iris-versicolor
59,6.6,2.9,4.60 ,1.30 ,Iris-versicolor
60,5.2,2.7,3.90 ,1.40 ,Iris-versicolor
61,5,2,3.50 ,1.00 ,Iris-versicolor
62,5.9,3,4.20 ,1.50 ,Iris-versicolor
63,6,2.2,4.00 ,1.00 ,Iris-versicolor
64,6.1,2.9,4.70 ,1.40 ,Iris-versicolor
65,5.6,2.9,3.60 ,1.30 ,Iris-versicolor
66,6.7,3.1,4.40 ,1.40 ,Iris-versicolor
67,5.6,3,4.50 ,1.50 ,Iris-versicolor
68,5.8,2.7,4.10 ,1.00 ,Iris-versicolor
69,6.2,2.2,4.50 ,1.50 ,Iris-versicolor
70,5.6,2.5,3.90 ,1.10 ,Iris-versicolor
71,5.9,3.2,4.80 ,1.80 ,Iris-versicolor
72,6.1,2.8,4.00 ,1.30 ,Iris-versicolor
73,6.3,2.5,4.90 ,1.50 ,Iris-versicolor
74,6.1,2.8,4.70 ,1.20 ,Iris-versicolor
75,6.4,2.9,4.30 ,1.30 ,Iris-versicolor
76,6.6,3,4.40 ,1.40 ,Iris-versicolor
77,6.8,2.8,4.80 ,1.40 ,Iris-versicolor
78,6.7,3,5.00 ,1.70 ,Iris-versicolor
79,6,2.9,4.50 ,1.50 ,Iris-versicolor
80,5.7,2.6,3.50 ,1.00 ,Iris-versicolor
81,5.5,2.4,3.80 ,1.10 ,Iris-versicolor
82,5.5,2.4,3.70 ,1.00 ,Iris-versicolor
83,5.8,2.7,3.90 ,1.20 ,Iris-versicolor
84,6,2.7,5.10 ,1.60 ,Iris-versicolor
85,5.4,3,4.50 ,1.50 ,Iris-versicolor
86,6,3.4,4.50 ,1.60 ,Iris-versicolor
87,6.7,3.1,4.70 ,1.50 ,Iris-versicolor
88,6.3,2.3,4.40 ,1.30 ,Iris-versicolor
89,5.6,3,4.10 ,1.30 ,Iris-versicolor
90,5.5,2.5,4.00 ,1.30 ,Iris-versicolor
91,5.5,2.6,4.40 ,1.20 ,Iris-versicolor
92,6.1,3,4.60 ,1.40 ,Iris-versicolor
93,5.8,2.6,4.00 ,1.20 ,Iris-versicolor
94,5,2.3,3.30 ,1.00 ,Iris-versicolor
95,5.6,2.7,4.20 ,1.30 ,Iris-versicolor
96,5.7,3,4.20 ,1.20 ,Iris-versicolor
97,5.7,2.9,4.20 ,1.30 ,Iris-versicolor
98,6.2,2.9,4.30 ,1.30 ,Iris-versicolor
99,5.1,2.5,3.00 ,1.10 ,Iris-versicolor
100,5.7,2.8,4.10 ,1.30 ,Iris-versicolor
101,6.3,3.3,6.00 ,2.50 ,Iris-virginica
102,5.8,2.7,5.10 ,1.90 ,Iris-virginica
103,7.1,3,5.90 ,2.10 ,Iris-virginica
104,6.3,2.9,5.60 ,1.80 ,Iris-virginica
105,6.5,3,5.80 ,2.20 ,Iris-virginica
106,7.6,3,6.60 ,2.10 ,Iris-virginica
107,4.9,2.5,4.50 ,1.70 ,Iris-virginica
108,7.3,2.9,6.30 ,1.80 ,Iris-virginica
109,6.7,2.5,5.80 ,1.80 ,Iris-virginica
110,7.2,3.6,6.10 ,2.50 ,Iris-virginica
111,6.5,3.2,5.10 ,2.00 ,Iris-virginica
112,6.4,2.7,5.30 ,1.90 ,Iris-virginica
113,6.8,3,5.50 ,2.10 ,Iris-virginica
114,5.7,2.5,5.00 ,2.00 ,Iris-virginica
115,5.8,2.8,5.10 ,2.40 ,Iris-virginica
116,6.4,3.2,5.30 ,2.30 ,Iris-virginica
117,6.5,3,5.50 ,1.80 ,Iris-virginica
118,7.7,3.8,6.70 ,2.20 ,Iris-virginica
119,7.7,2.6,6.90 ,2.30 ,Iris-virginica
120,6,2.2,5.00 ,1.50 ,Iris-virginica
121,6.9,3.2,5.70 ,2.30 ,Iris-virginica
122,5.6,2.8,4.90 ,2.00 ,Iris-virginica
123,7.7,2.8,6.70 ,2.00 ,Iris-virginica
124,6.3,2.7,4.90 ,1.80 ,Iris-virginica
125,6.7,3.3,5.70 ,2.10 ,Iris-virginica
126,7.2,3.2,6.00 ,1.80 ,Iris-virginica
127,6.2,2.8,4.80 ,1.80 ,Iris-virginica
128,6.1,3,4.90 ,1.80 ,Iris-virginica
129,6.4,2.8,5.60 ,2.10 ,Iris-virginica
130,7.2,3,5.80 ,1.60 ,Iris-virginica
131,7.4,2.8,6.10 ,1.90 ,Iris-virginica
132,7.9,3.8,6.40 ,2.00 ,Iris-virginica
133,6.4,2.8,5.60 ,2.20 ,Iris-virginica
134,6.3,2.8,5.10 ,1.50 ,Iris-virginica
135,6.1,2.6,5.60 ,1.40 ,Iris-virginica
136,7.7,3,6.10 ,2.30 ,Iris-virginica
137,6.3,3.4,5.60 ,2.40 ,Iris-virginica
138,6.4,3.1,5.50 ,1.80 ,Iris-virginica
139,6,3,4.80 ,1.80 ,Iris-virginica
140,6.9,3.1,5.40 ,2.10 ,Iris-virginica
141,6.7,3.1,5.60 ,2.40 ,Iris-virginica
142,6.9,3.1,5.10 ,2.30 ,Iris-virginica
143,5.8,2.7,5.10 ,1.90 ,Iris-virginica
144,6.8,3.2,5.90 ,2.30 ,Iris-virginica
145,6.7,3.3,5.70 ,2.50 ,Iris-virginica
146,6.7,3,5.20 ,2.30 ,Iris-virginica
147,6.3,2.5,5.00 ,1.90 ,Iris-virginica
148,6.5,3,5.20 ,2.00 ,Iris-virginica
